
 
 GLOSSAIRE DES STATISTIQUES 
 
POS:Position 
 GP:Games Played 
 AB:At Bats 
 R:Runs 
 H:Hits 
 AVG:Batting Average 
 2B:Doubles
3B :Triples 
  HR:Home Runs 
 RBI:Runs Batted In 
 TB:Total Bases 
 BB:Walks 
 K:Strikeouts 
 SB:Stolen Bases 
OBP:On Base Percentage 
 SLG:Slugging Percentage 
 OPS:OPB Pct + SLG Pct 
 WAR:Wins Above Replacement 
 
STATISTIQUES DES SERIES ELIMINATOIRES 2021 DE TOUS LES JOUEURS DE BATON (BASEBALL) DE TOUTES LES DIVISIONS 
 
ARIZONA DIAMONDBACKS
 
Nom des joueurs;GP;AB;R;H;2B;3B;HR;RBI;TB;BB;SO;SB;AVG;OBP;SLG;OPS;WAR
Danny Jansen;70;75;11;8;4;0;2;3;18;5;33;2;.107;.212;.240;.452;-0.2
Bradley Zimmer;25;69;7;14;4;0;4;10;30;6;30;0;.203;.276;.435;.711;0.2
Zack Collins;18;58;3;16;1;0;0;4;17;2;7;0;.276;.300;.293;.593;0.2
Gabriel Moreno;10;15;2;4;2;0;0;1;6;0;4;0;.267;.267;.400;.667;0.1
Tyler Heineman;8;7;2;1;1;0;0;0;2;3;1;0;.143;.400;.286;.686;0.1
Gosuke Katoh;8;5;2;1;0;0;0;0;1;2;1;0;.200;.429;.200;.629;0.0
TOTAL;99;3398;484;910;194;5;129;471;1501;294;770;41;.268;.331;.442;.773;

 
WASHINGTON NATIONALS
 
Nom des joueurs;GP;AB;R;H;2B;3B;HR;RBI;TB;BB;SO;SB;AVG;OBP;SLG;OPS;WAR
Cesar Hernandez;99;361;50;109;23;3;13;53;177;48;57;0;.302;.387;.490;.877;3.3
Josh Bell;91;336;28;79;15;0;8;38;118;12;69;0;.235;.263;.351;.615;-0.7
Maikel Franco;97;333;58;81;17;1;20;45;160;84;61;5;.243;.400;.480;.880;3.3
Juan Soto;90;329;40;76;14;0;8;50;114;39;85;3;.231;.317;.347;.664;0.2
Nelson Cruz;77;282;23;70;18;0;3;23;97;22;34;5;.248;.311;.344;.655;1.0
Keibert Ruiz;87;276;34;64;14;1;9;34;107;21;72;2;.232;.286;.388;.673;0.5
